NBHD_NAME,TOTALPOP_INREGISTRY,PERCENT_ADULTS_OBESE_,COUNT_ADULTS_OBESE,CONFIDENCE_INTERVAL
College View - South Platte,2250,34.73,781.425,"(32.61, 36.85)"
Overland,705,31.66,223.203,"(28.03, 35.28)"
Ruby Hill,3826,37.49,1434.3674,"(35.89, 39.09)"
Kennedy,1003,29.7,297.891,"(26.65, 32.75)"
Hampden,4365,28.72,1253.628,"(27.3, 30.14)"
Baker,2075,25.65,532.2375,"(23.67, 27.63)"
Fort Logan,2491,32.94,820.5354,"(31.01, 34.87)"
Bear Valley,2570,33.17,852.469,"(31.29, 35.04)"
Harvey Park South,2638,34.95,921.981,"(33.06, 36.85)"
Southmoor Park,832,19.31,160.6592,"(16.3, 22.31)"
Hampden South,3289,26.31,865.3359,"(24.72, 27.9)"
Indian Creek,847,26.55,224.8785,"(23.32, 29.78)"
Goldsmith,1353,32.22,435.9366,"(29.63, 34.81)"
Stapleton,2819,18.05,508.8295,"(16.44, 19.66)"
Montbello,11887,40.09,4765.4983,"(39.16, 41.03)"
Chaffee Park,1467,36.94,541.9098,"(34.42, 39.46)"
Sunnyside,3938,36.45,1435.401,"(34.85, 38.06)"
Highland,2418,24.16,584.1888,"(22.41, 25.91)"
Globeville,1459,36.57,533.5563,"(33.89, 39.24)"
Jefferson Park,800,28.01,224.08,"(24.6, 31.42)"
Sun Valley,670,41.48,277.916,"(37.03, 45.92)"
Valverde,1643,39.13,642.9059,"(36.52, 41.74)"
Athmar Park,3379,36.97,1249.2163,"(35.29, 38.65)"
Windsor,4443,28.87,1282.6941,"(27.43, 30.31)"
Northeast Park Hill,3804,37.66,1432.5864,"(35.98, 39.33)"
Wellshire,531,17.18,91.2258,"(13.82, 20.54)"
University,1520,15.6,237.12,"(13.02, 18.18)"
Rosedale,586,19.91,116.6726,"(16.6, 23.22)"
Cheesman Park,2257,16.88,380.9816,"(15.26, 18.49)"
Hilltop,1465,17.81,260.9165,"(15.6, 20.02)"
Montclair,1298,19.06,247.3988,"(16.85, 21.27)"
Hale,1869,21.78,407.0682,"(19.82, 23.74)"
Virginia Village,3466,27.15,941.019,"(25.59, 28.72)"
Gateway - Green Valley Ranch,9510,38.12,3625.212,"(37.06, 39.17)"
DIA,402,42.38,170.3676,"(36.71, 48.05)"
University Hills,1368,23.51,321.6168,"(21.17, 25.84)"
Harvey Park,3996,37.35,1492.506,"(35.78, 38.91)"
Mar Lee,4585,38.81,1779.4385,"(37.35, 40.27)"
Westwood,6198,40.44,2506.4712,"(39.14, 41.74)"
East Colfax,3726,31.21,1162.8846,"(29.56, 32.85)"
Auraria,0,0,0,0
Cory - Merrill,649,19.94,129.4106,"(16.67, 23.21)"
Belcaro,588,12.59,74.0292,"(9.74, 15.44)"
Washington Park,1279,11.55,147.7245,"(9.69, 13.42)"
Washington Park West,1402,14.78,207.2156,"(12.86, 16.69)"
Speer,3067,17.33,531.5111,"(15.9, 18.75)"
Cherry Creek,1065,16.65,177.3225,"(14.34, 18.95)"
West Colfax,3311,34.41,1139.3151,"(32.68, 36.14)"
West Highland,2053,20.55,421.8915,"(18.76, 22.33)"
Sloan Lake,2142,27.85,596.547,"(25.88, 29.82)"
Berkeley,2384,27.02,644.1568,"(25.19, 28.85)"
Regis,1154,27.1,312.734,"(24.08, 30.13)"
Lincoln Park,2626,29.6,777.296,"(27.68, 31.52)"
City Park West,1791,23.71,424.6461,"(21.47, 25.95)"
Whittier,1730,27.74,479.902,"(25.49, 29.99)"
Capitol Hill,4424,17.25,763.14,"(16.03, 18.47)"
North Capitol Hill,1880,16.5,310.2,"(14.68, 18.32)"
Civic Center,631,16.64,104.9984,"(13.05, 20.23)"
CBD,765,16.7,127.755,"(13.58, 19.82)"
Union Station,1242,15.34,190.5228,"(13.16, 17.52)"
Five Points,4848,22.73,1101.9504,"(21.47, 24)"
Country Club,438,13.64,59.7432,"(10.29, 16.99)"
Congress Park,2696,17.56,473.4176,"(16.05, 19.07)"
City Park,810,17.25,139.725,"(14.26, 20.24)"
Clayton,1783,37.13,662.0279,"(34.74, 39.52)"
Skyland,1236,32.8,405.408,"(30.01, 35.58)"
Cole,1736,35.24,611.7664,"(32.84, 37.64)"
Marston,2700,31.02,837.54,"(29.18, 32.86)"
Washington Virginia Vale,3382,25.52,863.0864,"(23.88, 27.16)"
Barnum,2350,38.03,893.705,"(36, 40.06)"
Barnum West,2202,37.65,829.053,"(35.57, 39.74)"
Villa Park,3523,40.39,1422.9397,"(38.69, 42.08)"
North Park Hill,3242,29.09,943.0978,"(27.47, 30.72)"
South Park Hill,2109,17.47,368.4423,"(15.8, 19.14)"
Platt Park,1276,14.84,189.3584,"(12.85, 16.84)"
Lowry Field,1882,22.88,430.6016,"(20.89, 24.87)"
Elyria Swansea,2629,42.87,1127.0523,"(40.89, 44.85)"
University Park,1261,17.94,226.2234,"(15.55, 20.34)"
